vertexes,edges,density,time
79,924,0.15,11.26031253333224
80,948,0.15,11.563300066667162
81,972,0.15,12.182447133334525
82,996,0.15,12.55615283333403
83,1020,0.15,13.127419533332349
84,1045,0.15,13.556587566667607
85,1071,0.15,13.902165366665523
86,1096,0.15,14.691012399996831
87,1122,0.15,15.102204200000338
88,1148,0.15,15.680508299999474
89,1174,0.15,16.247245833331664
90,1201,0.15,16.544145833331452
91,1228,0.15,17.331193066669925
92,1255,0.15,17.657613800002043
93,1283,0.15,18.29782506666504
94,1311,0.15,19.038484766667807
95,1339,0.15,19.60198746666606
96,1368,0.15,20.190845733333163
97,1396,0.15,20.952358266667186
98,1425,0.15,21.524973599997566
99,1455,0.15,22.121711133337385
100,1485,0.15,22.843177733334603
1,0,0.2,0.0006125000008220619
2,0,0.2,0.0010346999980962817
3,1,0.2,0.0017595999963759823
4,2,0.2,0.0033542000020740184
5,4,0.2,0.004847200003155194
6,6,0.2,0.00852080000015576
7,8,0.2,0.011940199998624243
8,11,0.2,0.016413900001073973
9,14,0.2,0.02392086666607914
10,18,0.2,0.030552666666494588
11,22,0.2,0.04177356666540769
12,26,0.2,0.05515556666466637
13,31,0.2,0.07072623333025756
14,36,0.2,0.08579439999797007
15,42,0.2,0.10457920000040606
16,48,0.2,0.13089443333171857
17,54,0.2,0.15354846666374064
18,61,0.2,0.18017496666781577
19,68,0.2,0.2154777666675045
20,76,0.2,0.2468972666671713
21,84,0.2,0.29217493333154226
22,92,0.2,0.3302096666658372
23,101,0.2,0.3741083666701191
24,110,0.2,0.41889856666633324
25,120,0.2,0.489556933333309
26,130,0.2,0.5476277333362608
27,140,0.2,0.6000638666667631
28,151,0.2,0.6743320333346977
29,162,0.2,0.7615151666698239
30,174,0.2,0.8317389666653222
31,186,0.2,0.918927766665926
32,198,0.2,1.005777833334302
33,211,0.2,1.1092999999988251
34,224,0.2,1.224301366667646
35,238,0.2,1.3153096000015314
36,252,0.2,1.4468597999998185
37,266,0.2,1.5477778333320202
38,281,0.2,1.6835055666670466
39,296,0.2,1.8330332000023948
40,312,0.2,1.9486180666604014
41,328,0.2,2.0985126333367057
42,344,0.2,2.295545900003996
43,361,0.2,2.4289847666703204
44,378,0.2,2.601237566664357
45,396,0.2,2.81739283333593
46,414,0.2,2.9905750333351
47,432,0.2,3.167833299999264
48,451,0.2,3.3585999666665125
49,470,0.2,3.549191633330414
50,490,0.2,3.8529320000018665
51,510,0.2,4.043105566667767
52,530,0.2,4.242509800003329
53,551,0.2,4.550079133333422
54,572,0.2,4.8321432333305365
55,594,0.2,5.019163966665019
56,616,0.2,5.407856900001207
57,638,0.2,5.64905133333203
58,661,0.2,5.956774933333501
59,684,0.2,6.284755600000835
60,708,0.2,6.577584633335694
61,732,0.2,8.313417966666256
62,756,0.2,7.255398766667061
63,781,0.2,7.569830566667217
64,806,0.2,7.940416733336519
65,832,0.2,8.241776299998568
66,858,0.2,8.75506099999844
67,884,0.2,9.094295699999103
68,911,0.2,9.57324309999971
69,938,0.2,9.998980566667607
70,966,0.2,10.513262400003024
71,994,0.2,10.874718066668265
72,1022,0.2,11.338156966667157
73,1051,0.2,11.767124933330328
74,1080,0.2,12.315022266668999
75,1110,0.2,12.871927799995811
76,1140,0.2,13.311327900000455
77,1170,0.2,13.968308299999421
78,1201,0.2,14.560844433338124
