vertexes,edges,density,time
99,485,0.05,102.75447783334737
100,495,0.05,105.73942083334107
1,0,0.1,0.0010471667337697
2,0,0.1,0.0027764333253799123
3,0,0.1,0.006105500021173309
4,1,0.1,0.01178333331305718
5,2,0.1,0.021001366697722307
6,3,0.1,0.0323971666603029
7,4,0.1,0.04879859999770512
8,5,0.1,0.07043333332603652
9,7,0.1,0.09903196666982694
10,9,0.1,0.13136103331513974
11,11,0.1,0.17046943331327688
12,13,0.1,0.21869023334299223
13,15,0.1,0.2742763333117182
14,18,0.1,0.3387498666749404
15,21,0.1,0.4217584666472855
16,24,0.1,0.5036082666568594
17,27,0.1,0.6086291666709561
18,30,0.1,0.7160805999850103
19,34,0.1,0.8290749666836442
20,38,0.1,0.9676276999850112
21,42,0.1,1.1291721000361576
22,46,0.1,1.2769097000045804
23,50,0.1,1.4756638666767685
24,55,0.1,1.661677766704391
25,60,0.1,1.8882125666398981
26,65,0.1,2.120122200002091
27,70,0.1,2.362805566682861
28,75,0.1,2.6451138666667853
29,81,0.1,2.952468000019811
30,87,0.1,3.212443033339696
31,93,0.1,3.5881445666594423
32,99,0.1,3.9046278333216833
33,105,0.1,4.299823699981668
34,112,0.1,4.634555533334606
35,119,0.1,5.068166633312406
36,126,0.1,5.897212466705544
37,133,0.1,6.224626433375609
38,140,0.1,6.550337433350251
39,148,0.1,7.028523666652593
40,156,0.1,7.58890000000368
41,164,0.1,8.172641733343275
42,172,0.1,9.077272333327832
43,180,0.1,9.90668046669422
44,189,0.1,10.52063189999141
45,198,0.1,11.178263899986026
46,207,0.1,11.888187533357572
47,216,0.1,12.26598193332696
48,225,0.1,12.984102700011135
49,235,0.1,13.736025033305546
50,245,0.1,14.688101300028697
51,255,0.1,15.55392096668887
52,265,0.1,16.41149583335088
53,275,0.1,17.325320866689253
54,286,0.1,18.33907366663728
55,297,0.1,19.478572266658983
56,308,0.1,20.52823486669695
57,319,0.1,21.57703743333362
58,330,0.1,22.816644399980152
59,342,0.1,24.083222266676785
60,354,0.1,25.28093609998905
61,366,0.1,26.520098600023328
62,378,0.1,27.763641666676147
63,390,0.1,29.235056899991225
64,403,0.1,30.552209766680487
65,416,0.1,32.04271946667632
66,429,0.1,33.31591379995492
67,442,0.1,34.99869313332056
68,455,0.1,36.61502926668921
69,469,0.1,38.07917916666762
70,483,0.1,39.921737533344036
71,497,0.1,41.603225100000905
72,511,0.1,43.32689996665522
73,525,0.1,44.97957786668394
74,540,0.1,46.92132503331171
75,555,0.1,48.7084292000039
76,570,0.1,50.84639029998925
77,585,0.1,52.89245133331709
78,600,0.1,54.91492363332782
79,616,0.1,56.87082923329854
80,632,0.1,59.189534666658496
81,648,0.1,61.375365233296485
82,664,0.1,63.655406966692375
83,680,0.1,65.91953890001605
84,697,0.1,68.15711526665685
85,714,0.1,70.88950406665997
86,731,0.1,73.24725839998791
87,748,0.1,75.71479023330691
88,765,0.1,78.22221116667454
89,783,0.1,80.68378473328721
90,801,0.1,83.97288599999229
91,819,0.1,86.3383610666536
92,837,0.1,89.59781113330791
93,855,0.1,92.50724293332648
94,874,0.1,95.81788736667629
95,893,0.1,99.30497629998172
96,912,0.1,101.64927219999906
97,931,0.1,104.92223193333909
98,950,0.1,109.57651946669102
99,970,0.1,112.52003050002106
100,990,0.1,115.22012919998967
1,0,0.15,0.0015652332876925357
2,0,0.15,0.0027624999953938336
3,0,0.15,0.005884633333153033
4,1,0.15,0.012501466668860909
5,3,0.15,0.02128196667854354
6,4,0.15,0.03539580001567325
7,6,0.15,0.05174990000493077
8,8,0.15,0.07408200001464138
9,10,0.15,0.10371666665681308
10,13,0.15,0.13870416666274346
11,16,0.15,0.18028473331620867
12,19,0.15,0.23669856665643843
13,23,0.15,0.29692919999130635
14,27,0.15,0.37422496666295046
15,31,0.15,0.45512366666571324
16,36,0.15,0.5585459666614648
17,40,0.15,0.6587834666712903
18,45,0.15,0.7993652666376269
19,51,0.15,0.9821765000197047
20,57,0.15,1.2664140333223866
21,63,0.15,1.4654192999766262
22,69,0.15,1.4192263666700455
23,75,0.15,1.6136110999999194
24,82,0.15,1.8434027333417664
25,90,0.15,2.0808040333728663
26,97,0.15,2.343823599994721
27,105,0.15,2.6188623666712374
28,113,0.15,2.862156933360893
29,121,0.15,3.2160221999826413
30,130,0.15,3.558326333313744
31,139,0.15,3.918119399986608
32,148,0.15,4.286765266677624
33,158,0.15,4.670947266655882
34,168,0.15,5.115434633300235
35,178,0.15,5.623459666639974
36,189,0.15,6.030320766664469
37,199,0.15,6.527456933357219
38,210,0.15,7.1657013333454715
39,222,0.15,7.615208299997296
40,234,0.15,8.231554233293537
41,246,0.15,8.795226499986105
42,258,0.15,9.43590416667727
43,270,0.15,10.125501466692791
44,283,0.15,10.823337466664876
45,297,0.15,11.855290233317342
46,310,0.15,12.365305566671244
47,324,0.15,13.153404100004687
48,338,0.15,14.035877699984667
49,352,0.15,14.885943033308044
50,367,0.15,15.772354166680694
51,382,0.15,16.766030699992978
52,397,0.15,17.657131999984205
53,413,0.15,18.76058603333301
54,429,0.15,19.803855633320683
55,445,0.15,20.961448566701318
56,462,0.15,22.197376400004032
57,478,0.15,23.38528473331583
58,495,0.15,24.504025033312853
59,513,0.15,25.81797216665412
60,531,0.15,27.245950000004388
61,549,0.15,28.57236520000394
62,567,0.15,29.847208300013033
63,585,0.15,31.294037400008772
64,604,0.15,33.03211533335949
65,624,0.15,34.38255283331273
66,643,0.15,36.019851433358475
67,663,0.15,37.67595980001109
68,683,0.15,39.2081945333454
69,703,0.15,40.96308336669002
70,724,0.15,42.90807496666579
71,745,0.15,44.824105599991526
72,766,0.15,46.524441733337575
73,788,0.15,48.927745966678536
74,810,0.15,50.600032033306285
75,832,0.15,52.596959800037745
76,855,0.15,54.74218463331605
77,877,0.15,57.69626243334945
78,900,0.15,59.28957486667817
79,924,0.15,61.28371806667019
80,948,0.15,63.527361066667254
81,972,0.15,65.95692086666531
82,996,0.15,68.47956233334571
83,1020,0.15,71.09175830003853
84,1045,0.15,73.65337916665642
85,1071,0.15,76.10303063335475
86,1096,0.15,78.8554597667068
87,1122,0.15,81.78878056668661
88,1148,0.15,84.59657766664652
89,1174,0.15,87.28689296666896
90,1201,0.15,90.02283069999066
91,1228,0.15,93.28533196667952
92,1255,0.15,96.2845625333254
93,1283,0.15,99.40688189998734
94,1311,0.15,102.4997818666634
95,1339,0.15,105.9389875666587
96,1368,0.15,109.725863900015
97,1396,0.15,112.70110693332451
98,1425,0.15,118.94844300001448
99,1455,0.15,119.2549055333302
100,1485,0.15,123.64883736664372
1,0,0.2,0.001037500032907701
2,0,0.2,0.00278749998111986
3,1,0.2,0.00625420001748959
4,2,0.2,0.012480499996551467
5,4,0.2,0.022054133334374153
6,6,0.2,0.03532506667246101
7,8,0.2,0.05421946664985929
8,11,0.2,0.07864573331820186
9,14,0.2,0.1109819999934795
10,18,0.2,0.14974306665559803
11,22,0.2,0.20012776665983742
12,26,0.2,0.2455612000403562
13,31,0.2,0.3271234666802532
14,36,0.2,0.40400413331553864
15,42,0.2,0.4886055666550722
16,48,0.2,0.589459700002711
17,54,0.2,0.700502666685073
18,61,0.2,0.8386693999909767
19,68,0.2,0.9737138666726727
20,76,0.2,1.1285361000242726
21,84,0.2,1.3006528000081137
22,92,0.2,1.5111291333065917
23,101,0.2,1.717166733343826
24,110,0.2,1.9231070333565488
25,120,0.2,2.18008336667026
26,130,0.2,2.4391457666827896
27,140,0.2,2.7253083666361513
28,151,0.2,3.03869433332693
29,162,0.2,3.380416699997113
30,174,0.2,3.7303750000016103
31,186,0.2,4.103876466645791
32,198,0.2,4.500242966643479
33,211,0.2,4.944795899981121
34,224,0.2,5.3711610000164
35,238,0.2,5.885965266656967
36,252,0.2,6.37240279999484
37,266,0.2,6.92487926665611
38,281,0.2,7.527475100020335
39,296,0.2,8.119249933353482
40,312,0.2,8.752126300009877
41,328,0.2,9.342774933300765
42,344,0.2,10.08904726665302
43,361,0.2,10.804700066660189
44,378,0.2,11.54448613333443
45,396,0.2,12.250515266714501
46,414,0.2,13.098466599997968
47,432,0.2,14.012504233316273
48,451,0.2,14.974473600000238
49,470,0.2,15.863833333355615
50,490,0.2,16.78173613333153
51,510,0.2,17.878559766685004
52,530,0.2,18.951245799970213
53,551,0.2,20.00481249999666
54,572,0.2,21.205633400002927
55,594,0.2,22.40731386666539
56,616,0.2,23.684738933350975
57,638,0.2,24.96303053334638
58,661,0.2,26.246505433338523
59,684,0.2,27.59826523334444
60,708,0.2,29.04330143334543
61,732,0.2,30.54501806667152
62,756,0.2,31.939232066671746
63,781,0.2,33.67332370001653
64,806,0.2,35.00746666669935
65,832,0.2,36.7866986666589
66,858,0.2,38.638765266637165
67,884,0.2,40.339534633320305
68,911,0.2,42.09594593332895
69,938,0.2,44.018323666667435
70,966,0.2,45.817536100010635
71,994,0.2,47.69816250003108
72,1022,0.2,49.680044500018994
73,1051,0.2,51.91845836667047
74,1080,0.2,54.066987566655676
75,1110,0.2,56.26536936666374
76,1140,0.2,58.5919832333199
77,1170,0.2,60.68803323334274
78,1201,0.2,63.33664310000131
79,1232,0.2,65.6353888999926
80,1264,0.2,67.92871249998977
81,1296,0.2,70.63301670000328
82,1328,0.2,73.1081180333149
83,1361,0.2,75.97806253334056
84,1394,0.2,78.80384303334722
85,1428,0.2,81.4745166333599
86,1462,0.2,84.6952778000059
87,1496,0.2,87.64585426664932
88,1531,0.2,90.38368323338848
89,1566,0.2,93.61649026667844
90,1602,0.2,100.37943739999567
91,1638,0.2,100.6576873666442
92,1674,0.2,104.48231809997803
93,1711,0.2,108.19894029998522
94,1748,0.2,110.58874023331857
95,1786,0.2,114.01970966664219
96,1824,0.2,117.214094499991
97,1862,0.2,120.81101113332504
98,1901,0.2,124.785623566648
99,1940,0.2,128.74642636666067
100,1980,0.2,133.11782776667465
1,0,0.25,0.001041733359367451
2,0,0.25,0.002904233292611025
3,1,0.25,0.006534633280352864
4,3,0.25,0.013102766653598033
5,5,0.25,0.023444333366266317
6,7,0.25,0.03886246663569182
7,10,0.25,0.05719846667489037
8,14,0.25,0.08304579998821282
9,18,0.25,0.11914726669601805
10,22,0.25,0.16142923333669992
11,27,0.25,0.21465696668201417
12,33,0.25,0.2692486000417678
13,39,0.25,0.3473847000198778
14,45,0.25,0.42187923333282623
15,52,0.25,0.5239804999746411
16,60,0.25,0.631840333320118
17,68,0.25,0.7498556666557002
18,76,0.25,0.8850487333575074
19,85,0.25,1.0356527333290917
20,95,0.25,1.2191930999885396
21,105,0.25,1.4089888333198057
22,115,0.25,1.6155013999953856
23,126,0.25,1.8252984666636014
24,138,0.25,2.055918166684023
25,150,0.25,2.3437222666719513
26,162,0.25,2.6197722333563433
27,175,0.25,2.9009443666609513
28,189,0.25,3.243266566695032
29,203,0.25,3.623654133320997
30,217,0.25,4.003962666646051
31,232,0.25,4.420047200028421
32,248,0.25,4.848662500012324
33,264,0.25,5.275227833317331
