vertexes,density,time,probability,result
49,0.05,0.9352305666668078,0,0.0
50,0.05,1.0164124666664758,0,0.0
1,0.1,0.0006250666668705662,0,0.0
2,0.1,0.0010304333333266413,0,0.0
3,0.1,0.0015194333330488992,0,0.0
4,0.1,0.0023431666659708603,0,0.0
5,0.1,0.003384833333441861,0,0.0
6,0.1,0.005190366666833294,0,0.0
7,0.1,0.008048533332901306,0,0.0
8,0.1,0.009765333333433546,0,0.0
9,0.1,0.01414720000028069,0,0.0
10,0.1,0.018141633333002005,0,0.0
11,0.1,0.022318033332998272,0,0.0
12,0.1,0.029312499999534225,0,0.0
13,0.1,0.038327766666649644,0,0.0
14,0.1,0.04355129999981481,0,0.0
15,0.1,0.05636813333325108,0,0.0
16,0.1,0.06351243333367525,0,0.0
17,0.1,0.07643743333278034,0,0.0
18,0.1,0.09489303333308403,0,0.0
19,0.1,0.10727646666630619,0,0.0
20,0.1,0.12901379999992932,0,0.0
21,0.1,0.1596486333326652,0,0.0
22,0.1,0.18427223333373396,0,0.0
23,0.1,0.19510970000015485,0,0.0
24,0.1,0.22253749999983086,0,0.0
25,0.1,0.25775550000008235,0,0.0
26,0.1,0.277820933333454,0,0.0
27,0.1,0.31974023333252904,0,0.0
28,0.1,0.37066399999995764,0,0.0
29,0.1,0.39598329999996906,0,0.0
30,0.1,0.442983366666283,0,0.0
31,0.1,0.47595436666713437,0,0.0
32,0.1,0.5470430333332388,0,0.0
33,0.1,0.5913388666665279,0,0.0
34,0.1,0.6396861666660906,0,0.0
35,0.1,0.6633556333332772,0,0.0
36,0.1,0.7551805333331885,0,0.0
37,0.1,0.8315430000004417,0,0.0
38,0.1,0.8739986000005473,0,0.0
39,0.1,0.9527888666665282,0,0.0
40,0.1,1.0021041333337404,0,0.0
41,0.1,1.086950066666977,0,0.0
42,0.1,1.15233056666663,0,0.0
43,0.1,1.26798899999964,0,0.0
44,0.1,1.3650958333334036,0,0.0
45,0.1,1.4376582666667304,0,0.0
46,0.1,1.5581333666666808,0,0.0
47,0.1,1.6415499666667444,0,0.0
48,0.1,1.7663236666668543,0,0.0
49,0.1,1.8879165999999021,0,0.0
50,0.1,1.9589666666669576,0,0.0
1,0.15,0.0006068333333312618,0,0.0
2,0.15,0.001022233332766594,0,0.0
3,0.15,0.0018540999998132672,0,0.0
4,0.15,0.0030180666663900033,0,0.0
5,0.15,0.0045305333332616255,0,0.0
6,0.15,0.006380633333217626,0,0.0
7,0.15,0.008981966666847066,0,0.0
8,0.15,0.012983266666921622,0,0.0
9,0.15,0.01881956666665019,0,0.0
10,0.15,0.023299966666338417,0,0.0
11,0.15,0.03160706666633928,0,0.0
12,0.15,0.04312213333316587,0,0.0
13,0.15,0.048980533333538766,0,0.0
14,0.15,0.06583616666659964,0,0.0
15,0.15,0.0819291333334841,0,0.0
16,0.15,0.10004580000000374,0,0.0
17,0.15,0.11679296666677885,0,0.0
18,0.15,0.14231249999987483,0,0.0
19,0.15,0.15548893333334016,0,0.0
20,0.15,0.1898110999996779,0,0.0
21,0.15,0.22263746666707127,0,0.0
22,0.15,0.24920686666713246,0,0.0
23,0.15,0.2987055333334136,0,0.0
24,0.15,0.3353445333330522,0,0.0
25,0.15,0.37577909999981784,0,0.0
26,0.15,0.42109870000016275,0,0.0
27,0.15,0.4505444666668505,0,0.0
28,0.15,0.5174055000001232,0,0.0
29,0.15,0.5840625000002339,0,0.0
30,0.15,0.6396374999998974,0,0.0
31,0.15,0.7011179666668236,0,0.0
32,0.15,0.7487526666667558,0,0.0
33,0.15,0.8685763999995544,0,0.0
34,0.15,0.9346417666660519,0,0.0
35,0.15,0.99956943333351,0,0.0
36,0.15,1.0874083666665275,0,0.0
37,0.15,1.1786304666661824,0,0.0
38,0.15,1.2689304999997357,0,0.0
39,0.15,1.3871431333332869,0,0.0
40,0.15,1.4948638333333264,0,0.0
41,0.15,1.5893459000002015,0,0.0
42,0.15,1.7033042333334691,0,0.0
43,0.15,2.191305700000138,0,0.0
44,0.15,2.0176930000001647,0,0.0
45,0.15,2.117709633333694,0,0.0
46,0.15,2.2674013333328227,0,0.0
47,0.15,2.3974818666671873,0,0.0
48,0.15,2.5898028333333656,0,0.0
49,0.15,2.733342999999877,0,0.0
50,0.15,2.8769903000000596,0,0.0
1,0.2,0.0006125333336844582,0,0.0
2,0.2,0.0010638666669393615,0,0.0
3,0.2,0.0017292333339469224,0,0.0
4,0.2,0.0030986666665455687,0,0.0
5,0.2,0.004994499999592487,0,0.0
6,0.2,0.00806953333357304,0,0.0
7,0.2,0.011676433333699757,0,0.0
8,0.2,0.018105466666777186,0,0.0
9,0.2,0.024056833333219174,0,0.0
10,0.2,0.0324360666664821,0,0.0
11,0.2,0.04132770000010074,0,0.0
12,0.2,0.05828053333362485,0,0.0
13,0.2,0.07068876666641206,0,0.0
14,0.2,0.08916679999953676,0,0.0
15,0.2,0.10743346666662508,0,0.0
16,0.2,0.12932509999951472,0,0.0
17,0.2,0.15106113333326712,0,0.0
18,0.2,0.18710833333308585,0,0.0
19,0.2,0.2172249666662888,0,0.0
20,0.2,0.2457332999996472,0,0.0
21,0.2,0.2916167333331998,0,0.0
